Date,Price,Open,High,Low,Volume,Change %
04/28/2022,"1,684.75","1,694.25","1,700.00","1,681.25",74.50K,-0.47%
04/27/2022,"1,692.75","1,673.25","1,698.00","1,665.50",119.53K,1.26%
04/26/2022,"1,671.75","1,676.75","1,696.75","1,661.75",106.78K,-0.21%
04/25/2022,"1,675.25","1,687.00","1,695.50","1,656.50",106.28K,-0.76%
04/22/2022,"1,688.00","1,719.00","1,734.00","1,676.00",109.86K,-1.83%
04/21/2022,"1,719.50","1,717.00","1,726.25","1,704.75",98.30K,0.15%
04/20/2022,"1,717.00","1,693.50","1,721.75","1,688.25",89.89K,1.49%
04/19/2022,"1,691.75","1,691.75","1,705.75","1,682.00",80.91K,-0.09%
04/18/2022,"1,693.25","1,672.50","1,700.00","1,669.00",72.24K,0.73%
04/15/2022,"1,681.00","1,681.00","1,681.00","1,681.00",,0.95%
04/14/2022,"1,665.25","1,665.00","1,679.50","1,656.00",76.41K,0.02%
04/13/2022,"1,665.00","1,661.50","1,668.00","1,643.50",102.77K,0.27%
04/12/2022,"1,660.50","1,644.75","1,669.00","1,642.50",90.61K,1.20%
04/11/2022,"1,640.75","1,670.25","1,676.50","1,635.50",88.91K,-1.63%
04/08/2022,"1,668.00","1,627.75","1,668.75","1,625.75",89.20K,2.52%
04/07/2022,"1,627.00","1,603.50","1,631.25","1,599.00",79.39K,1.47%
04/06/2022,"1,603.50","1,613.00","1,625.00","1,599.25",44.39K,-0.65%
04/05/2022,"1,614.00","1,590.00","1,619.25","1,590.00",36.99K,1.57%
04/04/2022,"1,589.00","1,567.75","1,590.50","1,560.50",42.44K,1.42%
04/01/2022,"1,566.75","1,600.00","1,607.50","1,565.00",58.82K,-1.96%
03/31/2022,"1,598.00","1,645.00","1,657.25","1,594.25",59.93K,-2.71%
03/30/2022,"1,642.50","1,624.00","1,658.25","1,619.50",34.31K,1.15%
03/29/2022,"1,623.75","1,645.25","1,655.50","1,604.00",42.18K,-1.40%
03/28/2022,"1,646.75","1,681.00","1,687.25","1,643.50",39.45K,-2.47%
03/25/2022,"1,688.50","1,683.25","1,691.75","1,666.75",28.49K,0.37%
03/24/2022,"1,682.25","1,701.25","1,708.00","1,680.00",43.42K,-0.96%
03/23/2022,"1,698.50","1,677.00","1,713.00","1,673.50",36.27K,1.18%
03/22/2022,"1,678.75","1,673.00","1,700.00","1,667.25",40.23K,0.39%
03/21/2022,"1,672.25","1,650.00","1,689.75","1,645.75",33.89K,1.61%
03/18/2022,"1,645.75","1,647.50","1,667.00","1,632.75",32.13K,-0.09%
03/17/2022,"1,647.25","1,625.50","1,652.25","1,624.50",28.15K,1.31%
03/16/2022,"1,626.00","1,637.25","1,656.25","1,622.25",26.54K,-0.60%
03/15/2022,"1,635.75","1,649.75","1,650.00","1,616.00",27.21K,-2.08%
03/14/2022,"1,670.50","1,692.00","1,697.75","1,667.00",73.46K,-0.33%
03/11/2022,"1,676.00","1,689.25","1,695.75","1,665.25",90.79K,-0.61%
03/10/2022,"1,686.25","1,675.50","1,702.00","1,661.50",104.95K,0.87%
03/09/2022,"1,671.75","1,693.00","1,734.00","1,669.50",116.47K,-1.07%
03/08/2022,"1,689.75","1,660.00","1,706.50","1,649.75",110.02K,1.82%
03/07/2022,"1,659.50","1,686.75","1,696.75","1,654.50",82.38K,-0.06%
03/04/2022,"1,660.50","1,673.75","1,688.50","1,634.50",95.91K,-0.43%
03/03/2022,"1,667.75","1,669.75","1,699.00","1,665.50",101.00K,0.29%
03/02/2022,"1,663.00","1,694.00","1,697.00","1,650.25",111.27K,-1.60%
03/01/2022,"1,690.00","1,641.50","1,697.50","1,641.50",108.76K,3.25%
02/28/2022,"1,636.75","1,629.50","1,655.00","1,613.00",122.90K,3.30%
02/25/2022,"1,584.50","1,654.00","1,670.00","1,579.00",173.83K,-4.20%
02/24/2022,"1,654.00","1,671.00","1,759.25","1,648.25",234.27K,-1.02%
02/23/2022,"1,671.00","1,636.25","1,675.00","1,636.00",166.30K,2.20%
02/22/2022,"1,635.00","1,610.25","1,641.00","1,603.50",154.68K,2.35%
02/21/2022,"1,597.50","1,596.50","1,598.00","1,596.50",,-0.03%
02/20/2022,"1,598.00","1,599.25","1,599.25","1,598.00",,-0.34%
02/18/2022,"1,603.50","1,594.00","1,611.00","1,590.00",93.75K,0.47%
02/17/2022,"1,596.00","1,589.00","1,609.75","1,579.75",86.17K,0.30%
